scenario,scheduling_type,num_ues,mean_latency_ms,std_dev_latency_ms,min_latency_ms,max_latency_ms,num_packets,num_runs
baseline,DS,1,8.592,1.500,5.136,12.015,1000,10
baseline,SPS,1,11.335,5.661,1.000,21.489,1000,10
scalability,DS,1,8.592,1.500,5.136,12.015,1000,10
scalability,SPS,1,11.335,5.661,1.000,21.489,1000,10
scalability,DS,5,11.367,1.508,7.724,15.118,5000,10
scalability,SPS,5,2.988,1.166,1.000,5.715,5000,10
scalability,DS,10,16.493,1.530,12.254,20.415,10000,10
scalability,SPS,10,3.362,1.010,1.000,5.864,10000,10
scalability,DS,15,22.704,1.522,18.735,26.677,15000,10
scalability,SPS,15,5.561,1.004,3.021,8.106,15000,10
scalability,DS,20,29.589,1.528,25.734,33.810,20000,10
scalability,SPS,20,8.568,1.008,6.100,11.257,20000,10
scalability,DS,30,44.934,1.528,40.807,49.278,30000,10
scalability,SPS,30,16.187,1.008,13.566,18.959,30000,10
scalability,DS,40,61.787,1.534,57.567,65.991,40000,10
scalability,SPS,40,25.236,1.012,22.539,27.922,40000,10
scalability,DS,50,79.793,1.517,75.838,83.964,50000,10
scalability,SPS,50,35.314,1.001,32.775,37.978,50000,10
scalability,DS,60,98.713,1.525,94.458,102.947,60000,10
scalability,SPS,60,46.184,1.006,43.471,48.865,60000,10
scalability,DS,70,118.384,1.527,114.242,122.646,70000,10
scalability,SPS,70,57.697,1.008,55.070,60.413,70000,10
scalability,DS,80,138.710,1.533,134.493,142.833,80000,10
scalability,SPS,80,69.758,1.011,67.089,72.398,80000,10
scalability,DS,90,159.596,1.528,155.618,163.998,90000,10
scalability,SPS,90,82.286,1.008,79.738,85.082,90000,10
scalability,DS,100,180.972,1.529,176.780,185.253,100000,10
scalability,SPS,100,95.221,1.009,92.555,97.954,100000,10
